DropOut (group),DistanceToHanoi,DOB - Year (group),EntryGrade (group),Gender,Major (group),NumOfCheating,AttendanceRate,CoursePassRate,EnglishAverageGrade,FinalAverageGrade,Gain5-6GradeRate,Gain7-8GradeRate,Gain9-10GradeRate,LargerstTimeFailASubject,NumOfCourse/StudyYears,ReExamRate,ReStudyRate,TotalYearsStudy
0,0,1988,40,1,1,0,0.851207729,1,6.8,8.4625,0,0.3125,0.5,0,14.03846154,0.0625,0,1.139726027
0,109,1988,53,0,1,0,0.661093538,0.947368421,5.7,8.173684211,0.052631579,0.210526316,0.368421053,0,13.20952381,0.105263158,0,1.438356164
0,0,1988,48,1,1,0,0.715315999,1,5.3,7.725,0.1,0.3,0.25,0,11.33540373,0.1,0,1.764383562
0,0,1988,58,1,1,0,0.694590417,1,6.87,8.293333333,0.066666667,0.266666667,0.4,0,16.34328358,0,0,0.917808219
0,0,1988,59,1,1,0,0.731352155,1,6.53,7.7375,0.125,0.125,0.1875,0,17.17647059,0.125,0,0.931506849
0,0,1988,44,0,1,0,0.912884927,1,7.4,8.776923077,0,0.230769231,0.384615385,0,13.95588235,0.076923077,0,0.931506849
0,0,1985,100,1,1,0,0.856284856,1,6.07,8.742105263,0.052631579,0.052631579,0.526315789,0,15.10893246,0.052631579,0,1.257534247
0,0,1988,59,1,1,0,0.789498141,1,7.3,8.326666667,0.066666667,0.266666667,0.533333333,0,16.29464286,0.066666667,0,0.920547945
0,0,1987,46,1,1,0,0.704312553,1,5.67,7.757894737,0.105263158,0.210526316,0.315789474,0,11.89536878,0.105263158,0,1.597260274
1,79,1989,52,1,1,0,0.74605343,0.537037037,3.403960396,4.62037037,0.425925926,0.018518519,0.018518519,3,15.08033665,0.462962963,0.459459459,3.580821918
0,0,1986,49,1,1,0,0.601648352,0.947368421,6.43,7.557894737,0.105263158,0.157894737,0.263157895,0,20.39705882,0.105263158,0,0.931506849
0,0,1988,50,1,1,0,0.722094626,0.947368421,5.93,7.726315789,0.052631579,0.263157895,0.263157895,0,20.39705882,0.105263158,0,0.931506849
0,0,1987,40,1,1,0,0.116092496,0,0,0.025,0,0,0,1,4.620253165,0,1,0.865753425
0,145,1988,42,1,1,0,0.71971161,0.736842105,5.7,5.660526316,0.131578947,0.236842105,0.026315789,3,14.31372549,0.078947368,0.266666667,2.654794521
0,0,1988,48,1,1,0,0.725712704,0.944444444,6.5,7.511111111,0.166666667,0.111111111,0.333333333,0,19.32352941,0.166666667,0,0.931506849
0,122,1988,53,1,1,0,0.770752306,0.490566038,5.5,4.456603774,0.20754717,0.075471698,0,3,10.70558938,0.245283019,0.432432432,4.950684932
0,0,1988,60,1,1,0,0.809830508,0.941176471,6.4,7.817647059,0,0.294117647,0.411764706,0,18.25,0.058823529,0,0.931506849
0,0,1988,53,1,1,0,0.67921395,0.944444444,6.53,7.888888889,0.111111111,0.277777778,0.333333333,0,19.32352941,0.055555556,0,0.931506849
0,103,1988,56,1,1,0,0.932775285,0.685714286,5.33,5.982857143,0.171428571,0.228571429,0.028571429,3,13.17010309,0.085714286,0.4,2.657534247
0,1529,1988,58,0,1,0,0.881865737,1,7.97,8.923076923,0,0.230769231,0.615384615,0,14.24924925,0.076923077,0,0.912328767
0,0,1988,42,0,1,0,0.837664421,1,6.9,8.706666667,0,0.2,0.4,0,16.10294118,0,0,0.931506849
0,0,1988,50,1,1,0,0.624468085,0.9,6.27,7.47,0.05,0.2,0.2,1,15.97374179,0.2,0.052631579,1.252054795
0,0,1988,48,1,1,0,0.937549097,1,6.27,8.76,0,0.2,0.6,0,16.29464286,0.066666667,0,0.920547945
0,316,1988,71,1,1,0,0.885579937,1,6.6,8.178947368,0.052631579,0.315789474,0.368421053,0,15.10893246,0,0,1.257534247
0,0,1988,46,1,1,0,0.712966939,1,5.9,8.373684211,0.052631579,0.315789474,0.368421053,0,11.89536878,0.105263158,0,1.597260274
0,0,1987,44,1,1,0,0.840812316,0.9375,7.13,8.0625,0.0625,0.125,0.4375,1,17.38095238,0.125,0.066666667,0.920547945
0,0,1988,58,1,1,0,0.526156434,0.826086957,5.6,6.604347826,0.130434783,0.260869565,0.043478261,1,14.375,0.217391304,0.095238095,1.6
0,1006,1988,54,1,1,0,0.809724522,0.648648649,5.4,5.059459459,0.216216216,0.189189189,0,3,10.27777778,0.324324324,0.48,3.6
0,0,1988,48,1,1,0,0.926406926,1,6.47,7.63,0.15,0.25,0.1,0,15.97374179,0.1,0,1.252054795
0,0,1988,46,1,1,0,0.76056338,1,6.7,8.273333333,0,0.133333333,0.4,0,16.29464286,0,0,0.920547945
0,0,1987,53,1,1,0,0.686717352,1,6.3,7.515789474,0.210526316,0.315789474,0.157894737,0,11.61641541,0.157894737,0,1.635616438
0,145,1983,100,1,1,0,0.616327156,0.791666667,5.27,6.745833333,0.125,0.166666667,0.125,4,9.115504683,0.166666667,0.263157895,2.632876712
0,41,1988,100,1,1,0,0.769439421,0.933333333,6.5,7.44,0.133333333,0.333333333,0.2,1,16.10294118,0.066666667,0.071428571,0.931506849
0,0,1987,52,1,1,0,0.873271028,0.933333333,5.77,8.073333333,0.066666667,0.466666667,0.2,0,16.10294118,0.133333333,0,0.931506849
0,0,1988,49,1,1,0,0.864348227,1,6.33,7.852631579,0,0.105263158,0.263157895,0,16.63069544,0.052631579,0,1.142465753
0,0,1988,63,1,1,0,0.846565908,0.954545455,6.1,7.3,0.272727273,0.227272727,0.181818182,1,15.59223301,0.090909091,0.047619048,1.410958904
0,0,1988,50,0,1,0,0.78019496,0.733333333,5.3,6.006666667,0.333333333,0.266666667,0,4,11.47798742,0.166666667,0.304347826,2.61369863
0,0,1987,42,1,1,0,0.594682231,0.826086957,5.8,6.613043478,0.260869565,0.217391304,0.173913043,1,14.375,0.173913043,0.095238095,1.6
0,0,1987,53,1,1,0,0.811220311,0.933333333,6.7,7.766666667,0,0.2,0.266666667,1,16.29464286,0.2,0.071428571,0.920547945
0,0,1987,53,1,1,0,0.542065594,0.9,5.93,6.7,0.3,0.25,0.1,0,15.90413943,0.3,0,1.257534247
0,0,1986,66,1,1,0,0.777091255,1,6.6,8.085714286,0.071428571,0.142857143,0.357142857,0,15.20833333,0.285714286,0,0.920547945
0,0,1988,50,0,1,0,0.854079058,0.923076923,7.67,8.376923077,0,0,0.538461538,0,22.1728972,0,0,0.58630137
0,0,1988,40,1,1,0,0.762248272,0.941176471,6.17,7.729411765,0.058823529,0.294117647,0.294117647,0,18.25,0.176470588,0,0.931506849
0,0,1988,47,1,1,0,0.6209079,0.9,6.57,7.585,0.15,0.3,0.2,1,15.90413943,0.15,0.052631579,1.257534247
0,0,1987,68,1,1,0,0.700100553,1,5.9,7.547058824,0.235294118,0.235294118,0.235294118,0,18.46726191,0,0,0.920547945
0,0,1988,67,1,1,0,0.862647949,1,6.77,8.252941176,0.058823529,0.176470588,0.294117647,0,13.51851852,0,0,1.257534247
0,0,1988,49,1,1,0,0.584186747,0.833333333,5.93,6.341666667,0.208333333,0.083333333,0.041666667,2,13.62363919,0.125,0.2,1.761643836
0,378,1988,51,0,1,0,0.777352716,1,6.23,8.127777778,0,0.333333333,0.277777778,0,14.31372549,0,0,1.257534247
0,0,1988,41,1,1,0,0.250493746,0,1.35,0.514285714,0,0,0,1,11.93925234,0,0.4,0.58630137
0,0,1988,64,1,1,0,0.571293673,1,7.2,8.378947368,0.052631579,0.263157895,0.315789474,0,16.75120773,0.052631579,0,1.134246575
0,65,1988,58,1,1,0,0.839801817,1,6.67,8.083333333,0,0.111111111,0.166666667,0,14.31372549,0.166666667,0,1.257534247
0,0,1989,72,1,1,0,0.887645479,1,6.83,8.746153846,0,0.153846154,0.384615385,0,14.12202381,0.153846154,0,0.920547945
0,49,1988,42,1,1,0,0.734150077,0.742857143,5.2,5.182857143,0.314285714,0.142857143,0,2,8.37704918,0.228571429,0.25,4.178082192
0,288,1988,63,1,1,0,0.586404729,0.909090909,5.57,6.145454545,0.5,0.181818182,0.090909091,1,11.72262774,0.318181818,0.047619048,1.876712329
0,0,1988,43,0,1,0,0.865909091,0.941176471,6.47,8.176470588,0.058823529,0.176470588,0.411764706,0,18.46726191,0.058823529,0,0.920547945
0,0,1988,61,1,1,0,0.651704273,1,6.03,7.772222222,0.166666667,0.166666667,0.277777778,0,14.31372549,0.111111111,0,1.257534247
0,109,1988,48,1,1,0,0.637346527,0.863636364,5.97,7.036363636,0.090909091,0.272727273,0.136363636,1,17.49455338,0.045454545,0.047619048,1.257534247
0,0,1988,100,1,1,0,0.585214187,0.947368421,6.2,7.368421053,0.157894737,0.263157895,0.157894737,0,20.63988095,0.052631579,0,0.920547945
0,0,1987,63,1,1,0,0.670529801,0.933333333,7.23,7.88,0.066666667,0.133333333,0.4,0,12.03296703,0,0,1.246575342
0,80,1987,47,1,1,0,0.746973511,0.807692308,5.5,6.615384615,0.153846154,0.346153846,0.076923077,2,11.15158637,0.115384615,0.181818182,2.331506849
0,65,1985,52,1,1,0,0.795950156,0.634615385,5.14,4.825,0.403846154,0.115384615,0,3,11.55203895,0.365384615,0.405405405,4.501369863
0,82,1988,58,0,1,0,0.925523013,1,6.57,8.22,0.133333333,0.266666667,0.466666667,0,16.10294118,0.133333333,0,0.931506849
0,109,1988,50,1,1,0,0.83219775,0.88,5.47,6.412,0.24,0.24,0.04,1,10.81161137,0.16,0.086956522,2.312328767
0,0,1988,56,1,1,0,0.715794769,1,6.3,7.805882353,0.058823529,0.352941176,0.176470588,0,18.46726191,0,0,0.920547945
0,0,1986,42,1,1,0,0.595043311,0.894736842,6.53,7.421052632,0,0.263157895,0.315789474,1,15.24175824,0,0.055555556,1.246575342
0,145,1988,43,1,1,0,0.518536444,0.45,5.87,3.4675,0.125,0.175,0,3,10.23842917,0.425,0.290322581,3.906849315
0,0,1988,79,1,1,0,0.674934415,0.894736842,6.77,7.473684211,0.210526316,0.105263158,0.315789474,1,20.63988095,0.105263158,0.117647059,0.920547945
0,0,1988,100,1,1,0,0.750962279,1,6.17,7.9,0,0.2,0.066666667,0,16.29464286,0,0,0.920547945
0,80,1988,60,1,1,0,0.819628647,0.941176471,5.93,7.794117647,0.058823529,0.294117647,0.294117647,0,18.46726191,0.117647059,0,0.920547945
0,0,1988,54,1,1,0,0.47576084,0.740740741,5.67,5.637037037,0.296296296,0.222222222,0.037037037,2,11.70427553,0.148148148,0.285714286,2.306849315
1,111,1984,,1,1,0,0.805326158,0.65625,5.53,5.2625,0.25,0.21875,0,4,7.420584498,0.3125,0.230769231,4.312328767
0,316,1988,52,1,1,0,0.34350057,0.653846154,6.17,4.776923077,0.307692308,0.115384615,0.038461538,2,9.003795066,0.269230769,0.238095238,2.887671233
0,501,1985,61,1,1,0,0.677518086,0.818181818,6.13,7.186363636,0,0.227272727,0.227272727,1,15.38314176,0.227272727,0.1,1.430136986
0,65,1987,63,1,1,0,0.35836959,0.5,6.3,4.185294118,0.147058824,0.117647059,0.029411765,4,6.991549296,0.323529412,0.47826087,4.863013699
0,153,1988,73,1,1,0,0.422404737,0.206896552,1.419444444,1.475862069,0.172413793,0.034482759,0,2,10.0047259,0.103448276,0.45,2.898630137
0,0,1988,53,1,1,0,0.842053404,0.62295082,4.389041096,4.973770492,0.360655738,0.114754098,0,3,14.42033679,0.360655738,0.487804878,4.230136986
0,0,1988,41,1,1,0,0.853395689,0.95,6.37,7.67,0.1,0.2,0.3,0,15.97374179,0.1,0,1.252054795
0,360,1988,61,1,1,0,0.810892435,0.75,4.295348837,5.598076923,0.346153846,0.057692308,0,2,15.79034942,0.384615385,0.238095238,3.293150685
0,530,1984,46,1,1,0,0.536206431,0.740740741,6.47,5.803703704,0.222222222,0.185185185,0.074074074,2,21.56455142,0.185185185,0.227272727,1.252054795
0,0,1988,71,1,1,0,0.612953048,0.793103448,6.87,5.893103448,0.275862069,0.137931034,0.068965517,2,11.15384615,0.172413793,0.208333333,2.6
0,70,1986,46,1,1,0,0.605189621,0.344827586,0.793023256,3.148275862,0.172413793,0.068965517,0,2,5.900222965,0.310344828,0.260869565,4.915068493
0,109,1988,52,1,1,0,0.611728799,0.944444444,6.23,7.677777778,0.111111111,0.333333333,0.222222222,1,19.32352941,0.055555556,0.058823529,0.931506849
0,49,1988,43,1,1,0,0.740733978,0.904761905,5.5,6.847619048,0.142857143,0.428571429,0.047619048,1,13.14751286,0.095238095,0.05,1.597260274
0,117,1988,54,1,1,0,0.637082601,0.863636364,5.7,7.118181818,0.181818182,0.409090909,0.181818182,2,17.49455338,0.090909091,0.1,1.257534247
0,0,1988,44,1,1,0,0.641902257,0.9,5.9,6.785,0.15,0.2,0.1,1,21.47058824,0.15,0.052631579,0.931506849
0,0,1988,53,1,1,0,0.713602187,0.59375,5.87,4.684375,0.15625,0.15625,0,2,9.741451209,0.375,0.333333333,3.284931507
0,0,1989,44,1,1,0,0.860144928,0.947368421,5.93,7.836842105,0.052631579,0.210526316,0.315789474,0,15.1419214,0.052631579,0,1.254794521
0,6730,1988,58,1,1,0,0.555011304,0.793103448,7.1,5.637931034,0.344827586,0.24137931,0,2,12.42370892,0.206896552,0.208333333,2.334246575
0,125,1988,43,1,1,0,0.720181952,0.725,5.9,5.77,0.35,0.1,0.025,2,14.38423645,0.325,0.25,2.780821918
0,0,1988,67,1,1,0,0.561409453,0.846153846,5.83,6.973076923,0.115384615,0.346153846,0.192307692,3,15.8961474,0.230769231,0.181818182,1.635616438
0,153,1988,56,1,1,0,0.681807806,0.1875,5.33,2.40625,0.1875,0,0,2,9.082426128,0.375,1,1.761643836
0,0,1988,40,1,1,0,0.572735192,0.172413793,2.3,2.427586207,0.206896552,0,0,2,13.0196802,0.275862069,0.8125,2.22739726
0,125,1987,56,1,1,0,0.715115512,0.862068966,5.8,7.106896552,0.137931034,0.172413793,0.206896552,2,10.91237113,0.137931034,0.115384615,2.657534247
0,109,1988,52,1,1,0,0.712152757,0.529411765,5.03,3.970588235,0.235294118,0.039215686,0.019607843,4,11.00177305,0.235294118,0.5,4.635616438
0,125,1988,52,1,1,0,0.873987854,1,5.37,7.777777778,0.166666667,0.222222222,0.277777778,0,19.55357143,0.055555556,0,0.920547945
0,0,1988,42,1,1,0,0.470095694,0.1,5.53,0.9,0.1,0,0,2,4.703608247,0.1,1,2.126027397
0,41,1988,50,1,1,0,0.638415477,0.888888889,6.53,7.272222222,0,0.222222222,0.222222222,1,15.8313253,0.111111111,0.058823529,1.136986301
0,0,1988,56,0,1,0,0.94165316,1,7.37,9.015384615,0,0.076923077,0.538461538,0,13.95588235,0.076923077,0,0.931506849
0,0,1989,64,1,1,0,0.712980769,1,6.37,8.141176471,0.058823529,0.294117647,0.294117647,0,18.46726191,0.058823529,0,0.920547945
0,122,1988,100,1,1,0,0.641746111,0.869565217,5.93,6.608695652,0.217391304,0.260869565,0.043478261,2,13.45352564,0.086956522,0.095238095,1.709589041
0,0,1988,51,1,1,0,0.816183816,1,5.97,8.225,0.0625,0.1875,0.1875,0,17.17647059,0.125,0,0.931506849
0,0,1986,56,1,1,0,0.793289016,1,6.13,8.09375,0.0625,0.25,0.3125,0,17.38095238,0.125,0,0.920547945
0,0,1988,44,1,1,0,0.59541109,0,2.9,1.25,0,0,0,0,3.467933492,0,0,1.153424658
0,0,1984,44,1,1,0,0.774876182,1,6.2,7.788888889,0.055555556,0.444444444,0.166666667,0,19.55357143,0.222222222,0,0.920547945
0,117,1988,62,1,1,0,0.734965035,0.941176471,6.27,7.358823529,0.117647059,0.176470588,0.117647059,0,18.25,0.058823529,0,0.931506849
0,316,1987,50,1,1,0,0.83537415,0.533333333,4.6,4.736666667,0.233333333,0.166666667,0,1,6.049723757,0.366666667,0.25,4.95890411
0,0,1988,58,0,1,0,0.865785256,1,6.37,8.133333333,0.066666667,0.2,0.266666667,0,16.29464286,0.2,0,0.920547945
0,0,1988,67,1,1,0,0.805438842,0.523809524,5.47,4.342857143,0.285714286,0.047619048,0,4,7.522080471,0.333333333,0.4,2.791780822
0,49,1988,48,1,1,0,0.668729642,0.708333333,5.7,6.15,0.208333333,0.291666667,0.166666667,2,11.2596401,0.125,0.142857143,2.131506849
0,109,1988,58,1,1,0,0.537210107,0.863636364,5.6,6.2,0.272727273,0.227272727,0.045454545,1,13.75,0.090909091,0.047619048,1.6
0,0,1988,54,1,1,0,0.868421053,1,6.4,7.86,0.066666667,0.266666667,0.133333333,0,16.10294118,0.133333333,0,0.931506849
0,55,1987,52,1,1,0,0.590082361,0.909090909,5.37,6.459090909,0.227272727,0.272727273,0,1,9.50295858,0.136363636,0.1,2.315068493
0,0,1984,60,1,1,0,0.669689119,1,6.4,8.142105263,0.105263158,0.157894737,0.315789474,0,11.875,0,0,1.6
0,0,1987,58,1,1,0,0.708835341,0.95,5.9,8.105,0.05,0.4,0.25,0,15.90413943,0.05,0,1.257534247
0,0,1988,100,1,1,0,0.770186335,1,7.3,8.325,0,0.125,0.3125,0,17.17647059,0.25,0,0.931506849
0,256,1988,46,1,1,0,0.511040133,0.730769231,6.07,6.061538462,0.115384615,0.346153846,0.038461538,2,14.7131783,0.230769231,0.181818182,1.767123288
0,0,1987,49,1,1,0,0.621664585,0.6875,5.6,6.171875,0.125,0.1875,0.0625,2,8.888888889,0.15625,0.333333333,3.6
0,111,1988,54,1,1,0,0.381007528,0.142857143,4.5,1.614285714,0.142857143,0,0,1,12.34299517,0,0.166666667,0.567123288
0,433,1988,57,1,1,0,0.691442346,0.925925926,5.4,6.451851852,0.333333333,0.111111111,0.074074074,1,11.58049354,0.037037037,0.038461538,2.331506849
0,316,1988,42,1,1,0,0.694900605,0.941176471,5.53,6.923529412,0.058823529,0.470588235,0.058823529,0,18.46726191,0.058823529,0,0.920547945
0,145,1988,68,1,1,0,0.64264774,0.84,5.47,6.048,0.28,0.32,0,1,5.506940253,0.12,0.086956522,4.539726027
0,0,1987,43,1,1,0,0.863266073,0.851851852,5.8,6.192592593,0.259259259,0.148148148,0.074074074,1,10.38461539,0.185185185,0.08,2.6
0,530,1988,100,0,1,0,0.594147927,0.944444444,6.27,7.45,0.111111111,0.277777778,0.111111111,0,19.32352941,0.166666667,0,0.931506849
0,80,1988,49,0,1,0,0.950824976,1,6.9,8.813333333,0,0.133333333,0.666666667,0,16.29464286,0,0,0.920547945
0,178,1988,52,1,1,0,0.491900561,0.869565217,5.63,6.613043478,0.130434783,0.217391304,0.086956522,1,13.03571429,0.173913043,0.045454545,1.764383562
0,0,1988,44,1,1,0,0.630859746,0.95,5.63,7.76,0.1,0.25,0.35,1,12.52144082,0.05,0.052631579,1.597260274
0,501,1986,63,1,1,0,0.677629791,0.823529412,6.57,6.770588235,0.058823529,0.294117647,0.058823529,1,13.57768053,0.058823529,0.0625,1.252054795
0,0,1988,57,1,1,0,0.136375985,0,0.05,0.033333333,0,0,0,1,9.690265487,0,0.5,0.309589041
0,65,1988,50,1,1,0,0.804028926,0.8125,5.7,5.721875,0.3125,0.09375,0.03125,1,9.629018961,0.1875,0.142857143,3.323287671
0,1456,1988,48,1,1,0,0.690875576,0.95,6.53,7.08,0.15,0.35,0.1,1,12.52144082,0.05,0.052631579,1.597260274
0,55,1988,56,1,1,0,0.787660976,0.941176471,5.97,7.417647059,0,0.176470588,0.176470588,1,18.25,0.117647059,0.0625,0.931506849
0,49,1987,52,1,1,0,0.861617764,1,6.6,7.953333333,0,0.466666667,0.133333333,0,16.29464286,0,0,0.920547945
0,125,1988,48,0,1,0,0.504877097,0.95,6.5,6.815,0.3,0.35,0.05,0,12.52144082,0.15,0,1.597260274
0,0,1988,42,0,1,0,0.952844539,1,6.57,8.5,0.0625,0.25,0.4375,0,17.17647059,0.125,0,0.931506849
0,316,1988,57,1,1,0,0.767571588,0.9375,5.87,7.1875,0.1875,0.125,0.125,0,17.17647059,0.125,0,0.931506849
0,109,1988,43,0,1,0,0.567920918,0.76,5.73,6.6,0.2,0.28,0.04,1,9.728144989,0.16,0.041666667,2.569863014
0,65,1988,51,1,1,0,0.901442308,0.9375,6.93,8.4375,0.0625,0.125,0.375,1,17.17647059,0.0625,0.066666667,0.931506849
0,0,1988,74,1,1,0,0.637186557,0.272727273,5.7,2.754545455,0.181818182,0,0,2,9.55952381,0.318181818,0.571428571,2.301369863
0,316,1988,41,0,1,0,0.940754717,1,6.93,8.786666667,0.066666667,0.133333333,0.466666667,0,16.29464286,0.066666667,0,0.920547945
0,0,1988,76,1,1,0,0.863986313,1,6.33,8.364285714,0,0.428571429,0.357142857,0,15.20833333,0,0,0.920547945
0,109,1988,44,1,1,0,1,0.666666667,6.44,5.1,0.222222222,0.111111111,0,2,13.19277108,0,0.285714286,0.682191781
0,0,1988,52,1,1,0,0.762502616,0.80952381,5.37,6.514285714,0.19047619,0,0.142857143,3,10.81100141,0.095238095,0.166666667,1.942465753
0,0,1987,47,1,1,0,0.709432818,0.153846154,1.67254902,2.430769231,0.153846154,0,0,4,5.793650794,0.230769231,1.6,2.243835616
0,0,1984,53,1,1,0,0.841036602,0.944444444,5.73,7.977777778,0,0.277777778,0.277777778,0,19.55357143,0.055555556,0,0.920547945
0,0,1988,48,1,1,0,0.660062714,0.642857143,7.7,5.717857143,0.142857143,0.285714286,0,2,8.712702472,0.464285714,0.166666667,3.21369863
0,55,1987,44,1,1,0,0.707752049,0.846153846,5.7,6.103846154,0.307692308,0.230769231,0.038461538,1,12.21364221,0.230769231,0.04,2.128767123
0,360,1988,56,0,1,0,0.652860803,1,5.87,7.652631579,0.052631579,0.473684211,0.210526316,0,11.89536878,0,0,1.597260274
0,198,1987,46,0,1,0,0.899007886,1,6.4,8.9,0,0.117647059,0.470588235,0,13.51851852,0,0,1.257534247
0,316,1988,56,1,1,0,0.714096116,0.666666667,4.154385965,5.073809524,0.214285714,0.119047619,0,1,9.336175396,0.214285714,0.105263158,4.498630137
0,0,1988,59,1,1,0,0.317682318,0.166666667,6,1.25,0.166666667,0,0,0,4.649681529,0,0,1.290410959
